product_id,product_sugar_content,product_type,store_id,store_size,store_location_city_type,store_type,product_weight,product_allocated_area,product_mrp,store_establishment_year,product_store_sales_total
FD6114,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.66,0.027,117.08,2009.0,2842.4
FD5075,Regular,Canned,OUT001,High,Tier 2,Supermarket Type1,14.28,0.031,162.08,1987.0,4130.16
FD8233,Low Sugar,Baking Goods,OUT001,High,Tier 2,Supermarket Type1,12.1,0.112,186.31,1987.0,4132.18
NC1180,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart,9.57,0.01,123.67,1998.0,2279.36
FD5680,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.03,0.053,113.64,2009.0,2629.15
FD1961,Low Sugar,Snack Foods,OUT002,Small,Tier 3,Food Mart,9.45,0.047,95.95,1998.0,1684.82
NC6657,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2,8.94,0.045,143.01,2009.0,2531.3
DR2699,Low Sugar,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2,10.64,0.02,165.99,2009.0,3385.46
FD6027,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,13.92,0.099,116.89,2009.0,3123.19
FD8553,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,10.97,0.156,175.71,2009.0,3660.82
FD5276,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,12.25,0.04,160.42,2009.0,3635.5
FD1231,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,11.31,0.049,168.4,2009.0,3587.27
FD1387,Low Sugar,Breads,OUT004,Medium,Tier 2,Supermarket Type2,13.26,0.024,156.17,2009.0,3776.76
NC1071,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2,10.74,0.173,138.19,2009.0,2839.53
FD2625,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.45,0.045,143.25,2009.0,3328.99
NC7289,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2,12.67,0.038,150.51,2009.0,3529.29
FD6431,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,10.57,0.11,143.36,2009.0,2907.64
FD1067,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,14.47,0.01,145.65,2009.0,3835.95
FD4186,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,11.67,0.118,179.54,2009.0,3895.8
FD2557,Regular,Snack Foods,OUT001,High,Tier 2,Supermarket Type1,13.32,0.007,204.53,1987.0,4780.97
FD3537,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,11.09,0.021,120.78,2009.0,2562.86
FD6680,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,10.94,0.138,121.01,2009.0,2532.68
FD4925,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2,10.55,0.15,132.82,2009.0,2688.24
FD636,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,11.44,0.027,144.18,2009.0,3120.85
FD6554,Regular,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,13.17,0.047,119.32,2009.0,3004.24
FD4235,Regular,Canned,OUT004,Medium,Tier 2,Supermarket Type2,14.88,0.099,146.81,2009.0,3951.97
FD5621,Low Sugar,Snack Foods,OUT001,High,Tier 2,Supermarket Type1,15.14,0.052,148.06,1987.0,4037.27
NC6961,No Sugar,Household,OUT002,Small,Tier 3,Food Mart,13.99,0.076,71.99,1998.0,2220.7
FD3834,Low Sugar,Meat,OUT002,Small,Tier 3,Food Mart,8.57,0.112,111.78,1998.0,1808.35
FD3342,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,13.29,0.126,109.69,2009.0,2832.54
FD5895,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,13.49,0.049,152.38,2009.0,3751.07
FD3673,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,12.16,0.022,171.91,2009.0,3849.96
DR1777,Low Sugar,Soft Drinks,OUT001,High,Tier 2,Supermarket Type1,14.52,0.054,184.39,1987.0,4638.79
FD5910,Regular,Breakfast,OUT004,Medium,Tier 2,Supermarket Type2,12.39,0.14,137.74,2009.0,3204.52
FD5844,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,14.61,0.016,141.97,2009.0,3792.19
DR2126,reg,Hard Drinks,OUT002,Small,Tier 3,Food Mart,7.82,0.036,102.18,1998.0,1443.06
FD5045,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.28,0.011,127.58,2009.0,2971.03
FD6350,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.0,0.097,157.77,2009.0,3524.53
FD5701,Regular,Canned,OUT002,Small,Tier 3,Food Mart,7.03,0.088,129.3,1998.0,1820.35
FD478,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,13.39,0.117,151.09,2009.0,2135.61
FD4414,Low Sugar,Meat,OUT001,High,Tier 2,Supermarket Type1,12.45,0.123,181.21,1987.0,4105.78
FD5724,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,15.03,0.067,115.38,2009.0,3344.04
FD8319,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,14.2,0.033,135.22,2009.0,3561.93
